loan_application_id,person_id,address,degree,occupation,salary,is_risky,risk_profile,apply_agent_id,apply_date,application_id,approval_status,application_type,rejection_reason,applied_for_loan_start_time,name,gender,birthday
la_1,p_486,319\ Roberts\ Inlet\ South\ Linda\ \ KS\ 43963,Bachelor,Lighting\ technician\ \ broadcasting/film/video,742893,False,,78a368b2038629bd9efd1a6450b8d819,2009-07-15,7bc5f90064e6ddadcd020de4f2076d14,Approved,Loan,,2009-07-15,Gregory Lyons,F,1941-05-29
la_2,p_3802,3801\ Lopez\ Falls\ Nicholasborough\ \ MT\ 69381,Bachelor,Retail\ buyer,78485,False,,a4bf7d882047cb2fb850044c5c6549d2,2014-10-23,71ead92641d3672d9021b3958740c6da,Approved,Loan,,2014-10-23,Anthony Robbins,M,2021-12-15
la_3,p_9223,643\ Mendoza\ Avenue\ Port\ Haleymouth\ \ MN\ 60208,Master,Administrator\ \ sports,911371,False,,5dc19aeb6de5869f6249e697a5fd9a53,2011-05-17,9279340e7d1a1a74935968bc0061c9e3,Approved,Loan,,2011-05-17,Adam Williams,M,1910-09-26
la_4,p_22366,448\ Graham\ Cliff\ Suite\ 393\ Martinview\ \ PA\ 03994,Bachelor,Copywriter\ \ advertising,819147,False,,77da4cd16229e52875a79113d5f5d41b,1996-01-25,37e257456fe7f82c3e4a1e01620d2d33,Approved,Credit,,1996-01-25,Jacob Ward MD,F,1951-04-08
la_5,p_31310,321\ Coleman\ Lodge\ Apt\.\ 792\ Port\ Alicia\ \ ME\ 23711,Master,Teacher\ \ primary\ school,281918,False,,a8a62280081ddedb9a18228fd7929db7,1993-04-01,262d4b387bdfb7a03357df39a570fd71,Approved,Loan,,1993-04-01,William Moreno,M,1980-11-17
la_6,p_93247,82888\ Carla\ Knolls\ Apt\.\ 963\ Lake\ Tyler\ \ OK\ 35948,Master,Psychologist\ \ sport\ and\ exercise,928666,False,,57f52bbfd47715484e5cf77e74da3d4f,2016-06-02,36369992a258974beaf474a583762ca7,Approved,Loan,,2016-06-02,Christina James,M,1947-11-14
la_7,p_6,6772\ Hunt\ Lights\ Nunezton\ \ CO\ 20220,Master,Statistician,499872,False,,78dec3acbe257333980f7027ba3e9600,2007-12-07,1075942847e3814f8c5f52d94e7f9a9e,Approved,Loan,,2007-12-07,Sherry Meyer,F,2001-12-05
la_158,p_6,74528\ Dawson\ Throughway\ Suite\ 565\ Lawsonville\ \ VT\ 48055,Master,Bookseller,843397,False,,d91d9a11c1420042ecafd5e9d12a1440,2014-12-07,18aa3e114b115cd838164f17b2a46b32,Approved,Credit,,2014-12-07,Sherry Meyer,F,2001-12-05
la_353,p_6,7151\ Nicholas\ Garden\ Suite\ 585\ Lake\ Williamville\ \ MS\ 95398,Bachelor,Naval\ architect,563809,False,,4453285247280fa2e97ce7043fc1533c,1998-09-15,dd5e89236b26ed2585313b648a914e18,Rejected,Credit,Pick matter actually beat program sense lose.,1998-09-15,Sherry Meyer,F,2001-12-05
la_545,p_6,4765\ Garrett\ Trail\ Apt\.\ 794\ North\ Ruben\ \ SD\ 23704,Master,Historic\ buildings\ inspector/conservation\ officer,240988,False,,d136a3f4d8a05bc9b8fbc9c347045d61,1999-05-20,3d9fcb1a1cc33e4acc59f08d1daa8b9b,Approved,Loan,,1999-05-20,Sherry Meyer,F,2001-12-05
