loan_application_id_1,address_1,degree_1,occupation_1,salary_1,is_risky_1,risk_profile_1,apply_agent_id_1,apply_date_1,application_uuid_1,approval_status_1,application_type_1,rejection_reason_1,applied_for_loan_start_time_1,loan_application_id_0,address_0,degree_0,occupation_0,salary_0,is_risky_0,risk_profile_0,apply_agent_id_0,apply_date_0,application_uuid_0,approval_status_0,application_type_0,rejection_reason_0,applied_for_loan_start_time_0,applicant_id_0,applicant_id_1,corp_id,pn_id,src_work_for_start_time,name_0,gender_0,birthday_0,name_1,gender_1,birthday_1
3000000v_5975,42942\ Carl\ Track\ Apt\.\ 007\ Taylorfort\ \ UT\ 31151,Bachelor,Tourism\ officer,983084,False,,82bd6b951860396a10867889434beda7,2013-06-03,3c70a037468666ef53dc909d5a7e6ca8,Approved,Credit,,2013-06-03,3000000v_1,6384\ Baxter\ Street\ Suite\ 826\ Lake\ Colleen\ \ MT\ 27777,Bachelor,Clinical\ cytogeneticist,11107,False,,7e2ee49eb95c492f06f01cfcb4a28a36,1993-08-15,ca7a90c8631770a4342e9f3c8abbec13,Approved,Loan,,1993-08-15,200000040332,200000042557,5000000952,100000051776,2020-12-22,Dylan Morris,M,1940-06-16,Christian Foster,F,1959-11-12
3000000v_5976,361\ Benjamin\ Corners\ Petersonshire\ \ WV\ 25689,PhD,English\ as\ a\ second\ language\ teacher,261834,False,,f2cd3f2d37c31a6d4693f78e6460294c,1993-09-23,6bd9d15ba784a0cab1c43417ad294dbd,Approved,Loan,,1993-09-23,3000000v_2,28303\ Deleon\ Harbor\ Edwinborough\ \ MA\ 05361,Bachelor,Toxicologist,484856,False,,a0c1b5a69965d372ec22368153c7822a,2017-08-05,48cfcacb534abfc4d901cf1c3e179025,Approved,Credit,,2017-08-05,200000040332,200000095456,50000001,100000041457,2021-09-03,Dylan Morris,M,1940-06-16,Nicole Meyer,F,1908-02-19
3000000v_5977,7110\ Hernandez\ Plaza\ Parkermouth\ \ VT\ 56901,Master,Banker,38305,False,,53b20fe9f15cecc6daec6f996447c40e,2003-05-24,f39288d47793c49401813ff3ca7fdfcc,Approved,Loan,,2003-05-24,3000000v_3,468\ Vazquez\ Road\ Suite\ 981\ Scottmouth\ \ NE\ 62184,PhD,Hotel\ manager,277375,False,,99093ac4f28f805740fab6cd4854a271,2016-05-27,fd1ed3a9aad54596176e713b9d1dec3d,Rejected,Loan,Wall sort study why history quite.,2016-05-27,200000040333,200000074894,5000000254,1000000569,2020-01-03,Melissa Taylor,F,1976-03-02,Jose Nguyen,M,1922-12-30
3000000v_5978,5498\ Gina\ Ports\ Apt\.\ 226\ Brianmouth\ \ CA\ 26138,PhD,Theatre\ stage\ manager,597928,False,,f5f938989f0ae4b8a07a3e5a6e223a9c,1992-12-11,cdb2e8dff3c49d17b2bda4e27fb92a82,Approved,Credit,,1992-12-11,3000000v_4,Unit\ 4744\ Box\ 4864\ DPO\ AP\ 29360,PhD,Teacher\ \ early\ years/pre,567538,False,,2a03160db12c6d55b211f14d06313f66,1999-08-16,bcc21ce269a369523babf1985b798398,Approved,Credit,,1999-08-16,200000040337,200000084227,50000001,10000006,2021-02-08,Don Boyd,F,2013-03-05,Shawna Lewis,M,1954-07-26
3000000v_5979,6560\ Natalie\ Plains\ Apt\.\ 989\ Timothyview\ \ UT\ 50126,Master,Journalist\ \ magazine,715630,False,,7cbc21da406baff17444e1afe7f4e49f,2004-02-18,210c92fe1773c0f915b3aec863009064,Approved,Loan,,2004-02-18,3000000v_5,90674\ Haley\ Roads\ Apt\.\ 323\ Banksshire\ \ LA\ 69815,Master,Pharmacist\ \ hospital,384962,False,,4be67ebf213c0a6eeb0ec554982b6c54,1996-10-07,2982d692b1358033894cba0fb92449e2,Approved,Credit,,1996-10-07,200000040337,200000097306,50000001,100000054645,2019-08-27,Don Boyd,F,2013-03-05,Michelle Gibson,F,1950-07-23
3000000v_5980,555\ Dakota\ Stravenue\ Suite\ 894\ East\ Gabrielleberg\ \ IA\ 18411,Master,Engineer\ \ electrical,773411,False,,f9685486de6266b2adcf223084566ddb,2014-06-23,6451eaeb398d58830039854c951414d0,Approved,Credit,,2014-06-23,3000000v_6,0919\ Gary\ Hollow\ Apt\.\ 984\ Lake\ Matthew\ \ RI\ 96038,Master,Editor\ \ magazine\ features,684538,False,,bc130900a286221fdc0616d921ef8aa5,2002-06-25,93897ef6180bdcc01e93f160bce38fd9,Approved,Loan,,2002-06-25,200000040338,200000065413,5000000942,100000037973,2022-01-28,Chelsea West,M,1979-11-21,Randall Wallace,M,2019-10-09
3000000v_5981,9737\ Evans\ Key\ North\ Dennis\ \ ME\ 59688,Master,Investment\ banker\ \ corporate,305073,False,,490a27187cf241d5354b4857a312d312,2017-11-29,9afe3cc6a21478c7e8577f38367daaac,Approved,Credit,,2017-11-29,3000000v_7,4466\ Angela\ Extension\ Suite\ 124\ Stoneberg\ \ AR\ 52784,Master,Publishing\ copy,748685,False,,36d466c2f8768b883d049c5862c3552b,2020-09-18,c28a06407a85c08d720c430c2e8b0eb0,Approved,Credit,,2020-09-18,200000040340,200000064352,50000001472,100000062884,2022-05-12,Heather Adams,F,2011-12-23,Daniel Martinez,M,1926-08-14
3000000v_5982,77943\ Ryan\ Walks\ Apt\.\ 608\ Wendymouth\ \ ID\ 14413,PhD,Therapist\ \ speech\ and\ language,527240,False,,ed87acb398ab6c5aa6be646ac7be8356,1994-11-29,bf387f0f6df4b0dc27bf08a9da117af5,Approved,Loan,,1994-11-29,3000000v_8,60120\ Suzanne\ Rest\ Apt\.\ 604\ Floreston\ \ OH\ 11021,Master,Land,629544,True,Fine blue upon blue child ready.,19140aeaaa29f4b3db4340e97a76f3e5,2002-09-14,853c7e78a6536b20f6a2ab1ccd6d3713,Approved,Loan,,2002-09-14,200000040341,200000063871,50000003123,100000074752,2021-05-22,Sara Cox,M,1980-05-14,Nicole Patrick,F,2002-12-05
3000000v_5983,7989\ Villanueva\ Centers\ Apt\.\ 264\ Lake\ Thomas\ \ WY\ 30541,PhD,Ambulance\ person,418932,False,,7355c3d76d8a6db3e75ee33204aaf78c,2002-11-07,d8d4451bd5609f79587360c7e5c89cfd,Approved,Credit,,2002-11-07,3000000v_9,366\ Ramos\ Circle\ Port\ Stephanieside\ \ OR\ 64608,PhD,Psychologist\ \ educational,229410,False,,e47fd9ed7c92bb0a04e7d084bb9d9733,2009-04-22,3e50771ea88e4d866f7285c3019a5b54,Approved,Credit,,2009-04-22,200000040342,200000083683,50000002,10000004073,2020-02-07,Michael Kennedy,M,1974-11-24,Becky Coleman,F,1937-01-23
3000000v_5984,2777\ Lindsay\ Forest\ Port\ Lauren\ \ HI\ 33258,PhD,Geologist\ \ engineering,695351,False,,a500ca2672f11cd1f0f790a70bb33808,2004-06-30,4a53befd0f0bee33a7dca69a58b2d727,Approved,Loan,,2004-06-30,3000000v_10,873\ Ashley\ Rue\ Lake\ Jamesfurt\ \ SC\ 00997,Bachelor,Housing\ manager/officer,909583,False,,4027fb3bdc6ecef76ba9688f50a5614a,1996-07-07,d721608beaaed7ff101fae8bdf79c298,Approved,Loan,,1996-07-07,200000040343,200000079378,5000000256,100000085,2020-05-08,Brian Bentley,M,1994-10-15,Kelly Bradford,F,1969-02-18
