loan_application_id,person_id,address,degree,occupation,salary,is_risky,risk_profile,apply_agent_id,apply_date,application_id,approval_status,application_type,rejection_reason,applied_for_loan_start_time,name,gender,birthday
la_1,p_88,青海省鑫市徐汇昆明路F座\ 883207,Bachelor,互联网软件开发工程师,588314,False,,bde7008e3504ec21e30e2c6dc73abd5a,2015-12-07,12e4748d92da996bc4d5910165ed0fc3,Approved,Loan,,2015-12-07,张霞,M,1907-03-07
la_54,p_88,河南省上海县崇文辛集街L座\ 418343,PhD,吹膜工,709236,False,,d010e4ed2c9f4ae4f3d052e824953c12,1992-08-05,f78315f04c10f836c845bb0d2a647b1f,Approved,Loan,,1992-08-05,张霞,M,1907-03-07
la_839,p_88,河南省银川市沈河马鞍山街g座\ 268963,Bachelor,采购主管,369560,True,用户分析为了活动.,751396bfaeae69c3c4675c26d8413506,2015-06-23,aa830a1757af2f28a0e53ca7ab1baf4f,Approved,Loan,,2015-06-23,张霞,M,1907-03-07
la_859,p_88,吉林省淑英市城北冯路B座\ 844358,Master,绩效考核专员/助理,722942,False,,330baa6315ca507fd1542e7252670b67,2017-07-15,4b2829aafd7bde71ec9dba6db8018231,Approved,Credit,,2017-07-15,张霞,M,1907-03-07
la_1348,p_88,北京市梅市兴山兰州街T座\ 622473,Bachelor,企业文化/员工关系/工会管理,667907,False,,208847d9fb00c0623ea494c7d1f201ce,2005-09-03,c79460dc8b4bf8441d0cd22e3a9c0af0,Approved,Loan,,2005-09-03,张霞,M,1907-03-07
la_1420,p_88,河南省成都市沙市梧州路j座\ 508675,Master,仓库经理/主管,22793,False,,9a3e451c2cec38e6c5a94e58066e6c8b,2015-09-15,7ce80d4da0663df2607053cfc2e1007b,Approved,Credit,,2015-09-15,张霞,M,1907-03-07
la_1974,p_88,河南省娜县淄川上海街B座\ 956475,Bachelor,打稿机操作员,539990,False,,df6945e5a3ce0ef2df94668f8a4f83d3,1994-07-15,4430efd4e775787f327898e9921759ee,Approved,Loan,,1994-07-15,张霞,M,1907-03-07
la_1991,p_88,台湾省太原市山亭陈路B座\ 941144,Bachelor,品质经理,213885,False,,e7abb8a73b1e5dd6054e7395c2f2e2ff,2003-01-13,fe954d0fb976359da7560f7a78e8c929,Approved,Credit,,2003-01-13,张霞,M,1907-03-07
la_2387,p_88,香港特别行政区兰英市平山海门街P座\ 807392,Bachelor,业务拓展主管/经理,198862,False,,8c36a5bd08ebb9c3862da67e7f414e96,1999-07-20,bf310a0baedfe983e370bde618e77ba7,Approved,Loan,,1999-07-20,张霞,M,1907-03-07
la_3087,p_88,内蒙古自治区慧县普陀天津路k座\ 136678,Bachelor,工长,533667,False,,f8cf46681ab0f8e257350c2f2d42d99b,2006-06-08,d15bbc83397581a84ecd96f323f007d6,Approved,Loan,,2006-06-08,张霞,M,1907-03-07
la_3634,p_88,吉林省坤县南湖太原街U座\ 199076,PhD,面料辅料采购,378653,False,,700297b1595fb722ee13d461664f7580,2015-02-16,0ea03e21d7113a93e38f7f2fc6b84b1e,Approved,Loan,,2015-02-16,张霞,M,1907-03-07
la_4194,p_88,北京市海燕县海陵陈街F座\ 735232,Bachelor,医院管理人员,872301,False,,54813d73b10ef79587dfdbdb8ef6f5b9,1992-08-25,701cef46d3b0db0b8cd6948c29d87939,Approved,Loan,,1992-08-25,张霞,M,1907-03-07
