loan_application_id_1,address_1,degree_1,occupation_1,salary_1,is_risky_1,risk_profile_1,apply_agent_id_1,apply_date_1,application_uuid_1,approval_status_1,application_type_1,rejection_reason_1,applied_for_loan_start_time_1,loan_application_id_0,address_0,degree_0,occupation_0,salary_0,is_risky_0,risk_profile_0,apply_agent_id_0,apply_date_0,application_uuid_0,approval_status_0,application_type_0,rejection_reason_0,applied_for_loan_start_time_0,applicant_id_0,applicant_id_1,corp_id,pn_id,src_work_for_start_time,name_0,gender_0,birthday_0,name_1,gender_1,birthday_1
la_v_6464,061\ Michael\ Valley\ Mackenzieton\ \ KS\ 60807,PhD,Management\ consultant,839669,False,,cc92e2465067080a0a12e5445a1173f3,1994-05-20,cb7d423e21e72bbc1d3def1c7a685ea4,Approved,Credit,,1994-05-20,la_v_1,7491\ Meyer\ Harbor\ Harrisbury\ \ NE\ 50152,Master,Theatre\ director,596637,False,,eaa8f50d99ffb83e9d7c35c788948a86,2018-08-11,4d084894c6bcc8a62b3a62c800cfd405,Approved,Loan,,2018-08-11,a_35348,a_61805,co_780,pn_2,2020-08-23,Michele Clark,F,1912-01-15,Raymond Bartlett,M,1985-09-05
la_v_6465,83103\ Valerie\ Mountain\ Gregorymouth\ \ ID\ 10185,PhD,Psychologist\ \ prison\ and\ probation\ services,748102,False,,578ba3b3b02357fce66cfd65c99c88d4,2004-10-14,4926d6a003ac53cef24896ddef6670a3,Approved,Loan,,2004-10-14,la_v_2,30139\ Williams\ Camp\ North\ Nicolebury\ \ HI\ 49482,Bachelor,Museum/gallery\ exhibitions\ officer,115772,False,,81725be0ead468ceada6bcfc279030b6,1994-11-05,907738883ebbbdbf8337b76fe3a46aee,Approved,Credit,,1994-11-05,a_35349,a_94608,co_570,pn_647,2021-10-27,Rachel Combs,F,1919-08-14,Shelly Williams,F,1963-05-30
la_v_6466,81918\ Jennifer\ Freeway\ Suite\ 071\ Laurashire\ \ WY\ 39076,Bachelor,Civil\ Service\ administrator,692023,False,,fc76312c8e795dd5a8de1bb659487e79,1994-11-26,28261de80b2cbd2341689165df1be4be,Approved,Loan,,1994-11-26,la_v_3,74815\ Alexis\ Estates\ Apt\.\ 805\ North\ Alexandra\ \ VA\ 53659,PhD,Set\ designer,666841,False,,982cf29e2fa6eb38a610738d9c8c1f94,2018-07-16,2f453ba2a3fc6be36fbbffad2dabc230,Approved,Loan,,2018-07-16,a_35350,a_38371,co_3877,pn_477,2020-11-12,April Ward,F,1947-03-18,Martha Hurst,F,2005-03-30
la_v_6467,045\ Dean\ Rapids\ South\ Troy\ \ AL\ 21675,PhD,Government\ social\ research\ officer,620538,False,,8a6422d511182733c0b5e48395c39faf,2006-09-23,a2c49d244543d4b3d5177ebf6f692837,Approved,Loan,,2006-09-23,la_v_4,5296\ Bennett\ Plaza\ North\ Lisa\ \ AZ\ 63625,Master,Editor\ \ commissioning,1691,False,,dbda9e7c0254594c8befeb93bcd176e0,1995-06-04,ac7866c926778bc70d4aba34de66f9b1,Approved,Loan,,1995-06-04,a_35350,a_79810,co_5330,pn_1,2020-12-05,April Ward,F,1947-03-18,Daniel Rivera,F,2002-04-27
la_v_10153,2504\ Kevin\ Street\ Port\ Davidburgh\ \ NV\ 33560,Bachelor,Financial\ planner,601460,False,,094273f0eb327cf7d72ad55700f915c9,2014-10-23,696bda56bbc602b739f9af3f7822a62e,Approved,Loan,,2014-10-23,la_v_3690,3394\ Jennifer\ Circles\ Suite\ 545\ South\ Ashley\ \ MS\ 27484,Master,Architectural\ technologist,968023,False,,adaa3dd489e590519d709fe8d5bbb146,2013-08-25,244aa2df6dea6dd92717e1f604d591df,Approved,Credit,,2013-08-25,a_39127,a_79810,co_9169,pn_694,2020-05-10,Trevor Cruz,F,1982-07-08,Daniel Rivera,F,2002-04-27
la_v_6468,2255\ Collins\ Pine\ Apt\.\ 121\ Rodneymouth\ \ GA\ 32389,PhD,Designer\ \ fashion/clothing,365219,False,,e32fd7b3fdee101bfd06aace35491569,2013-02-04,c43f21a0ad7fbb11e13932b75f7b054a,Approved,Credit,,2013-02-04,la_v_5,2224\ Hampton\ Club\ Apt\.\ 400\ Huntmouth\ \ IA\ 59958,Master,Theatre\ director,313356,False,,280140f060362d63825b4772d3180596,2003-01-19,4100a637fd50f9d3d49bb2e83c38ce87,Approved,Credit,,2003-01-19,a_35352,a_74347,co_908,pn_3011,2022-02-02,Michelle Jensen,M,2019-06-18,Scott Baker,F,1991-06-15
la_v_6469,805\ Nancy\ Manor\ East\ Michaelstad\ \ NJ\ 21850,PhD,Investment\ analyst,352981,False,,fc89ff0f41d38b14ee580b0f39f58f99,1995-05-11,61c42bcef267431d01c64510b3b48033,Approved,Credit,,1995-05-11,la_v_6,702\ Peterson\ Islands\ West\ William\ \ DC\ 51018,Bachelor,Broadcast\ journalist,523859,False,,d874ffa8143c6fe11f6424287148a6f2,2005-04-19,ec3c16bd402ac3f1cb22e317fb3af648,Approved,Loan,,2005-04-19,a_35353,a_43720,co_2711,pn_2496,2020-04-09,Alicia Castaneda,F,1909-02-26,Lisa Mccarthy,M,1975-08-28
la_v_6470,4407\ Jack\ Center\ Fosterburgh\ \ OK\ 46674,PhD,Communications\ engineer,867991,False,,8abaf550d44f2230660cb2bc91dac126,2013-07-12,8ccb20de001f7b31636aeed7690521a7,Approved,Credit,,2013-07-12,la_v_7,522\ Chavez\ Crossing\ Suite\ 887\ Lake\ Christopher\ \ LA\ 54249,PhD,Chief\ of\ Staff,557053,False,,bef8bcfecdf22a46e4b1869642ce7cc5,2008-05-18,695632551e6aad9be1cafc74ca5cca9f,Approved,Loan,,2008-05-18,a_35354,a_77998,co_5849,pn_1317,2020-01-14,Adam Bowman,F,2022-04-19,Lisa Smith,F,1934-10-04
la_v_6471,0295\ Matthew\ Village\ Leestad\ \ ME\ 10881,PhD,Environmental\ health\ practitioner,643509,False,,9416df277f799be1d4ef88e6029f5911,2007-02-23,175e7f8376b104c188a914f27ca5e27a,Approved,Loan,,2007-02-23,la_v_8,8245\ Carpenter\ Way\ Jonesview\ \ GA\ 67001,Bachelor,Surveyor\ \ minerals,223562,False,,b50fb97f9c363521be4dab5eba5bf799,1993-07-24,f2967228a05225cf42f5801742c63b86,Approved,Credit,,1993-07-24,a_35355,a_57941,co_3963,pn_9,2019-12-17,Daniel Chan,F,1946-07-24,Lori Berry,M,1922-01-11
la_v_6472,70523\ Martin\ Extensions\ Suite\ 956\ Brownhaven\ \ AK\ 10810,Master,Engineer\ \ technical\ sales,617520,False,,65994fd18900b78c5f4ab1007496ac4f,2008-06-09,c0835f2f075b44e96a42445a231b58fd,Approved,Credit,,2008-06-09,la_v_9,70814\ Juarez\ Greens\ Suite\ 198\ Coltonton\ \ OK\ 98066,Bachelor,Therapist\ \ drama,679325,False,,e8e385f6bf1b48c3ff60a37bb92e1088,2019-07-06,00311eb403d2e79eeb1a3b465f09ef08,Approved,Loan,,2019-07-06,a_35355,a_86839,co_2499,pn_4633,2019-11-10,Daniel Chan,F,1946-07-24,Jeffrey Mitchell,F,1908-04-08
